Fluor,BUV395,LIVE DEAD Blue,BUV496,BUV563,BUV661,BUV737,BUV805,BV421,eFluor 450,violetFluor 450,Pacific Blue,CellTrace Violet,BV480,BV510,eFluor 506,V500,BV570,Zombie Yellow,Super Bright 600,BV605,BV650,BV711,BV750,Super Bright 780,BV786,BV785,GFP,Alexa Fluor 488,FITC,Zombie Green,CFSE,Spark Blue 550,Alexa Fluor 532,LIVE DEAD Green,NovaFluor Blue 610-70S,PerCP,PerCP-Cy5.5,PerCP-eFluor 710,PE,Spark YG 570,PE-eFluor 610,PE-CF594,PE-Dazzle 594,PE-Texas Red,Alexa Fluor 594,mCherry,PE-Fire 640,7-AAD,PE-Cy5,PE-Cy5.5,PE-Fire 700,NovaFluor Yellow 730,PE-Cy7,NovaFluor Yellow 755,PE-Fire 810,APC,eFluor 660,Alexa Fluor 647,Spark NIR 685,R718,Alexa Fluor 700,Zombie NIR,APC-Vio 770,APC-Cy7,APC-Fire 750,Ghost Dye Red 780,APC-Fire 810
PerCP-eFluor 710,0,0,0,0.02,0.29,0.37,0.08,0,0,0,0,0,0.01,0.03,0,0.01,0.05,0.09,0.16,0.16,0.33,0.67,0.38,0.25,0.27,0.26,0,0,0,0.01,0.02,0.05,0.02,0.01,0.21,0.51,0.91,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PE,0,0.01,0.03,0.49,0.03,0,0,0,0,0,0.01,0.01,0.05,0.11,0.06,0.08,0.56,0.18,0.29,0.25,0.05,0.01,0,0,0,0,0.05,0.08,0.08,0.08,0.15,0.24,0.37,0.15,0.24,0.06,0.05,0.04,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Spark YG 570,0,0,0.01,0.44,0.03,0,0,0,0,0,0,0,0.01,0.02,0.01,0.01,0.42,0.03,0.22,0.2,0.03,0.01,0,0,0,0,0.01,0.02,0.02,0.02,0.04,0.06,0.16,0.04,0.12,0.04,0.03,0.02,0.91,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
PE-eFluor 610,0,0,0.01,0.27,0.12,0.01,0,0,0,0,0,0.01,0.02,0.06,0.03,0.03,0.34,0.13,0.49,0.47,0.15,0.03,0.01,0,0.01,0,0.03,0.04,0.05,0.05,0.09,0.17,0.24,0.09,0.62,0.22,0.17,0.12,0.53,0.52,1,,,,,,,,,,,,,,,,,,,,,,,,,,
PE-CF594,0,0,0.01,0.21,0.16,0.03,0,0,0,0,0,0.01,0.02,0.05,0.02,0.03,0.29,0.12,0.47,0.45,0.19,0.05,0.02,0.01,0.01,0.01,0.02,0.03,0.04,0.04,0.08,0.15,0.2,0.08,0.68,0.35,0.3,0.22,0.4,0.39,0.96,1,,,,,,,,,,,,,,,,,,,,,,,,,
PE-Dazzle 594,0,0,0.01,0.24,0.15,0.02,0,0,0,0,0,0.01,0.03,0.06,0.03,0.04,0.32,0.15,0.49,0.47,0.18,0.05,0.02,0.01,0.01,0.01,0.02,0.03,0.04,0.04,0.08,0.16,0.22,0.08,0.67,0.3,0.25,0.18,0.46,0.44,0.98,0.99,1,,,,,,,,,,,,,,,,,,,,,,,,
PE-Texas Red,0,0,0.01,0.23,0.15,0.02,0,0,0,0,0,0.01,0.02,0.06,0.02,0.03,0.31,0.13,0.48,0.46,0.18,0.05,0.02,0.01,0.01,0.01,0.02,0.03,0.04,0.04,0.08,0.16,0.22,0.08,0.68,0.32,0.27,0.19,0.45,0.43,0.97,1,1,1,,,,,,,,,,,,,,,,,,,,,,,
Alexa Fluor 594,0,0,0.01,0.17,0.23,0.03,0.01,0,0,0,0,0.01,0.03,0.09,0.03,0.05,0.33,0.21,0.61,0.59,0.32,0.09,0.04,0.02,0.03,0.02,0.01,0,0.01,0.01,0.02,0.05,0.05,0.01,0.31,0.32,0.26,0.2,0.31,0.35,0.84,0.89,0.88,0.88,1,,,,,,,,,,,,,,,,,,,,,,
mCherry,0,0,0,0.19,0.22,0.02,0.01,0,0,0,0,0,0.01,0.01,0.01,0.01,0.23,0.03,0.43,0.4,0.18,0.05,0.01,0.01,0.01,0.01,0,0.01,0.01,0.01,0.02,0.04,0.08,0.02,0.32,0.31,0.26,0.2,0.35,0.41,0.86,0.89,0.87,0.88,0.96,1,,,,,,,,,,,,,,,,,,,,,
PE-Fire 640,0,0,0,0.08,0.4,0.1,0.01,0,0,0,0,0,0.01,0.02,0,0.01,0.12,0.06,0.29,0.27,0.33,0.15,0.05,0.03,0.03,0.03,0.01,0.01,0.02,0.02,0.04,0.08,0.08,0.03,0.43,0.61,0.59,0.48,0.16,0.15,0.46,0.6,0.54,0.57,0.61,0.64,1,,,,,,,,,,,,,,,,,,,,
